lemma,upos,verb_form,case_counts,example_wordform,count
четверть,NOUN,,Acc:1,четверть,1
изначальный,ADJ,,Gen:1,изначальной,1
дистанционный,ADJ,,Nom:1,дистанционное,1
спонтанный,ADJ,,Nom:1,спонтанные,1
вовлечённость,NOUN,,Gen:1,вовлечённости,1
учащийся,NOUN,,Gen:1,учащихся,1
уступать,VERB,Fin,,уступает,1
пропорция,NOUN,,Acc:1,пропорции,1
нащупать,VERB,Inf,,нащупать,1
отправка,NOUN,,Ins:1,отправкой,1
извиниться,VERB,Inf,,извиниться,1
указывать,VERB,Inf,,указывать,1
выразить,VERB,Fin,,выразила,1
отправить,VERB,Conv,,Отправив,1
растворить,VERB,Fin,,раствори,1
пенка,NOUN,,Nom:1,пенка,1
растопить,VERB,Part,Acc:1,растопленное,1
обжарить,VERB,Fin,,обжарь,1
поперчить,VERB,Inf,,поперчить,1
увеличиться,VERB,Fin,,увеличится,1
раздеть,VERB,Fin,,раздели,1
слепить,VERB,Fin,,слепи,1
жарить,VERB,Inf,,жарить,1
случаться,VERB,Fin,,случаются,1
прививка,NOUN,,Dat:1,прививке,1
отделять,VERB,Inf,,отделять,1
недоказанный,ADJ,,Nom:1,Недоказанное,1
равноценный,ADJ,,Dat:1,равноценным,1
идеология,NOUN,,Acc:1,идеологию,1
противопоставлять,VERB,Part,Acc:1,противопоставляющую,1
дискурс,NOUN,,Loc:1,дискурсе,1
пересекаться,VERB,Fin,,пересекаются,1
популист,NOUN,,Nom:1,популист,1
популистский,ADJ,,Nom:1,Популистская,1
риторика,NOUN,,Nom:1,риторика,1
сочетаться,VERB,Inf,,сочетаться,1
идеологический,ADJ,,Ins:1,идеологическими,1
актор,NOUN,,Gen:1,акторов,1
разрушительный,ADJ,,Loc:1,разрушительном,1
потоп,NOUN,,Loc:1,потопе,1
месопотамский,ADJ,,Dat:1,месопотамским,1
библейский,ADJ,,Dat:1,библейской,1
распространяться,VERB,Inf,,распространяться,1
классифицировать,VERB,Fin,,классифицируют,1
джозеф,PROPN,,Nom:1,Джозеф,1
кэмпбелл,PROPN,,Nom:1,Кэмпбелл,1
мономиф,NOUN,,Gen:1,мономифа,1
литературоведение,NOUN,,Acc:1,литературоведение,1
бесспорный,ADJ,,Ins:1,бесспорным,1
клеветнический,ADJ,,Acc:1,клеветнические,1
оскорбительный,ADJ,,Acc:1,оскорбительные,1
диффамация,NOUN,,Nom:1,диффамация,1
удалить,VERB,Inf,,удалить,1
трансграничный,ADJ,,Nom:1,трансграничные,1
страдать,VERB,Part,Ins:1,пострадавшим,1
дед,NOUN,,Nom:1,Дед,1
старик,NOUN,,Gen:1,старика,1
снегурочка,PROPN,,Nom:1,Снегурочка,1
резиденция,NOUN,,Nom:1,резиденция,1
устюг,PROPN,,Loc:1,Устюге,1
надеяться,VERB,Conv,,надеясь,1
откликнуться,VERB,Fin,,откликнулась,1
переписываться,VERB,Fin,,переписывались,1
специальность,NOUN,,Dat:1,специальности,1
созвониться,VERB,Inf,,созвониться,1
обрыться,VERB,Fin,,оборвалась,1
пообещать,VERB,Inf,,пообещать,1
ущерб,NOUN,,Dat:1,ущербу,1
субъект,NOUN,,Gen:1,субъекта,1
применять,VERB,Inf,,применяться,1
автономность,NOUN,,Gen:1,автономности,1
адаптироваться,VERB,Fin,,адаптируется,1
дефектный,ADJ,,Acc:1,дефектную,1
обеспечение,NOUN,,Acc:1,обеспечение,1
внедрить,VERB,Part,,внедрена,1
сократить,VERB,Part,Gen:1,сокращённой,1
пилотный,ADJ,,Gen:1,пилотных,1
заключить,VERB,Inf,,заключить,1
сработать,VERB,Fin,,сработает,1
организовывать,VERB,Part,,организована,1
крупность,NOUN,,Nom:1,крупность,1
приближать,VERB,Fin,,приближает,1
ракурс,NOUN,,Nom:1,ракурс,1
длительность,NOUN,,Nom:1,длительность,1
выстраивать,VERB,Fin,,выстраивает,1
мизансцена,NOUN,,Ins:1,мизансценой,1
дополнять,VERB,Fin,,дополняют,1
насчитывать,VERB,Fin,,насчитывает,1
перемещаться,VERB,Fin,,перемещались,1
повадка,NOUN,,Acc:1,повадки,1
судить,VERB,Fin,,судим,1
косвенный,ADJ,,Dat:1,косвенным,1
каменный,ADJ,,Dat:1,каменным,1
орудие,NOUN,,Dat:1,орудиям,1
стоянка,NOUN,,Gen:1,стоянок,1
наскальный,ADJ,,Dat:1,наскальным,1
реконструкция,NOUN,,Gen:1,реконструкции,1
плодородный,ADJ,,Gen:1,Плодородного,1
полумесяц,NOUN,,Gen:1,полумесяца,1
мезоамерика,PROPN,,Loc:1,Мезоамерике,1
гвинея,PROPN,,Loc:1,Гвинее,1
единовременный,ADJ,,Ins:1,единовременной,1
сосуществовать,VERB,Fin,,сосуществовали,1
одомашнивание,NOUN,,Ins:1,одомашниванием,1
охранять,VERB,Fin,,охраняется,1
неодинаково,ADV,,,неодинаково,1
пустота,NOUN,,Loc:1,пустоте,1
авторство,NOUN,,Gen:1,авторства,1
бюро,PROPN,,Nom:1,Бюро,1
разъяснить,VERB,Fin,,разъяснило,1
текстовый,ADJ,,Gen:1,текстовых,1
компоновка,NOUN,,Nom:1,компоновка,1
охраняться,VERB,Inf,,охраняться,1
апелляционный,ADJ,,Nom:1,апелляционный,1
пекинский,ADJ,,Nom:1,Пекинский,1
интеллектуальный,ADJ,,Acc:1,интеллектуальный,1
беда,NOUN,,Acc:1,беду,1
комиссия,PROPN,,Nom:1,Комиссия,1
оценить,VERB,Fin,,оценила,1
кодокуси,NOUN,,Nom:1,кодокуси,1
обнаруживать,VERB,Fin,,обнаруживают,1
навязывать,VERB,Conv,,навязывая,1
землепользование,NOUN,,Gen:1,землепользования,1
ипотечный,ADJ,,Gen:1,ипотечного,1
кредитование,NOUN,,Gen:1,кредитования,1
ипотека,NOUN,,Dat:1,ипотеке,1
разрешать,VERB,Inf,,разрешать,1
арендный,ADJ,,Acc:1,арендное,1
удовлетворённость,NOUN,,Acc:1,удовлетворённость,1
описать,VERB,Inf,,описать,1
аристотель,PROPN,,Gen:1,Аристотеля,1
эвдемония,NOUN,,Loc:1,эвдемонии,1
добродетель,NOUN,,Ins:1,добродетелью,1
гедонистический,ADJ,,Acc:1,гедонистический,1
эвдемонический,ADJ,,Acc:1,эвдемонический,1
уменьшаться,VERB,Fin,,уменьшается,1
бояться,VERB,Conv,,боясь,1
обновить,VERB,Inf,,обновить,1
зависнуть,VERB,Fin,,завис,1
сгореть,VERB,Fin,,сгорела,1
расшириться,VERB,Fin,,расширился,1
представленность,NOUN,,Gen:1,представленности,1
неоплачиваемый,ADJ,,Gen:1,неоплачиваемой,1
форум,NOUN,,Gen:1,форума,1
паритет,NOUN,,Gen:1,паритета,1
квота,NOUN,,Nom:1,квоты,1
финансировать,VERB,Inf,,финансировать,1
интенсивный,ADJ,,Nom:1,интенсивный,1
изнашивать,VERB,Fin,,изнашивает,1
комитет,PROPN,,Nom:1,Комитет,1
ограничить,VERB,Fin,,ограничили,1
круизный,ADJ,,Gen:1,круизных,1
лагуна,NOUN,,Acc:1,лагуну,1
тонуть,VERB,Fin,,тонут,1
раздражаться,VERB,Fin,,раздражаюсь,1
принципиальный,ADJ,,Nom:1,принципиальная,1
масленица,NOUN,,Nom:1,Масленица,1
пасха,PROPN,,Gen:1,Пасхи,1
сырный,ADJ,,Ins:1,сырной,1
седмица,NOUN,,Ins:1,седмицей,1
гулянье,NOUN,,Acc:1,гулянья,1
сожжение,NOUN,,Acc:1,сожжение,1
уничтожение,NOUN,,Acc:1,уничтожение,1
соломенный,ADJ,,Gen:1,соломенного,1
чучело,NOUN,,Gen:1,чучела,1
завершаться,VERB,Fin,,Завершается,1
прощёный,ADJ,,Ins:1,Прощёным,1
справочный,ADJ,,Nom:1,Справочные,1
масленичный,ADJ,,Loc:1,масленичной,1
обрядность,NOUN,,Loc:1,обрядности,1
дохристианский,ADJ,,Gen:1,дохристианских,1
плодородие,NOUN,,Loc:1,плодородии,1
марсоход,NOUN,,Nom:1,марсоход,1
персеверанс,PROPN,,,Персеверанс,1
биосигнатура,NOUN,,Acc:1,биосигнатуру,1
минерал,NOUN,,Nom:1,минералы,1
образовываться,VERB,Inf,,образовываться,1
юпитер,PROPN,,Gen:1,Юпитера,1
сатурн,PROPN,,Gen:1,Сатурна,1
энцелада,PROPN,,Gen:1,Энцеладе,1
вырываться,VERB,Fin,,вырываются,1
струя,NOUN,,Nom:1,струи,1
зонд,NOUN,,Nom:1,зонд,1
кассини,PROPN,,,Кассини,1
оживить,VERB,Part,Acc:1,оживлённую,1
неверие,NOUN,,Ins:1,неверием,1
небиологический,ADJ,,Acc:1,небиологические,1
насморк,NOUN,,Nom:1,насморк,1
знобить,VERB,Fin,,знобит,1
мерить,VERB,Fin,,мерили,1
дышаться,VERB,Fin,,дышится,1
послушать,VERB,Fin,,послушаю,1
хрип,NOUN,,Gen:1,хрипов,1
вирусный,ADJ,,Acc:1,вирусную,1
развиваться,VERB,Inf,,развиваться,1
пропить,VERB,Inf,,пропить,1
вирус,NOUN,,Acc:1,вирусы,1
жаропонижающий,ADJ,,Nom:1,жаропонижающее,1
транссибирский,ADJ,,Nom:1,Транссибирская,1
магистраль,NOUN,,Nom:1,магистраль,1
железнодорожный,ADJ,,Gen:1,железнодорожных,1
дойти,VERB,Inf,,дойти,1
маньчжурия,PROPN,,Acc:1,Маньчжурию,1
владивостокский,ADJ,,Ins:1,владивостокским,1
путешественник,NOUN,,Gen:1,путешественников,1
назначение,NOUN,,Gen:1,назначения,1
попутчик,NOUN,,Ins:1,попутчиками,1
роман,PROPN,,Nom:1,Роман,1
надолго,ADV,,,надолго,1
погрузить,VERB,Inf,,погрузить,1
анимация,NOUN,,Nom:1,Анимация,1
фантастический,ADJ,,Ins:1,фантастическими,1
декорация,NOUN,,Acc:1,декорации,1
двухчасовой,ADJ,,Nom:1,двухчасовой,1
многотомный,ADJ,,Acc:1,многотомную,1
верность,NOUN,,Acc:1,верность,1
двигаться,VERB,Inf,,двигаться,1
геройствовать,VERB,Inf,,геройствовать,1
чередовать,VERB,Inf,,чередовать,1
бег,NOUN,,Acc:1,бег,1
увеличивать,VERB,Inf,,увеличивать,1
вяло,ADV,,,вяло,1
приготовить,VERB,Part,Nom:1,приготовленная,1
терпеть,VERB,Fin,,терплю,1
волновать,VERB,Fin,,волнует,1
отказываться,VERB,Conv,,отказываясь,1
сосуществование,NOUN,,Nom:1,сосуществование,1
недосыпание,NOUN,,Nom:1,недосыпание,1
прочитать,VERB,Fin,,прочитала,1
среднее,NOUN,,Loc:1,среднем,1
осторожный,ADV,,,осторожнее,1
высыпаться,VERB,Fin,,высыпались,1
изменить,VERB,Inf,,изменить,1
полупроводник,NOUN,,Gen:1,полупроводников,1
приставка,NOUN,,Acc:1,приставки,1
мощность,NOUN,,Nom:1,мощности,1
усугубить,VERB,Fin,,усугубили,1
техас,PROPN,,Loc:1,Техасе,1
министерство,PROPN,,Gen:1,Министерства,1
медианный,ADJ,,Nom:1,медианный,1
сборочный,ADJ,,Acc:1,сборочные,1
отступить,VERB,Fin,,отступил,1
разложить,VERB,Part,,разложена,1
исписать,VERB,Part,Nom:1,исписанный,1
стрелка,NOUN,,Ins:1,стрелками,1
вопросительный,ADJ,,Ins:1,вопросительными,1
людвиг,PROPN,,Gen:1,Людвига,1
сток-мандевилл,PROPN,,Nom:1,Сток-Мандевилл,1
спинной,ADJ,,Gen:1,спинного,1
военнослужащий,NOUN,,Gen:1,военнослужащих,1
состязание,NOUN,,Loc:1,состязаниях,1
стрельба,NOUN,,Dat:1,стрельбе,1
реабилитация,NOUN,,Gen:1,реабилитации,1
параспорт,NOUN,,Acc:1,параспорт,1
функциональный,ADJ,,Dat:1,функциональным,1
овертуризм,NOUN,,Nom:1,овертуризм,1
износ,NOUN,,Nom:1,износ,1
загрузить,VERB,Part,Acc:1,загруженные,1
восхождение,NOUN,,Gen:1,восхождения,1
фудзи,PROPN,,Acc:1,Фудзи,1
ёсид,PROPN,,Nom:1,Ёсида,1
дневной,ADJ,,Acc:1,дневной,1
киотский,ADJ,,Loc:1,киотском,1
гион,PROPN,,Nom:1,Гион,1
перенаправить,VERB,Inf,,перенаправить,1
остановить,VERB,Inf,,остановить,1
коронавирус,NOUN,,Gen:1,коронавируса,1
иметь,VERB,Part,Gen:1,имеющей,1
характеризовать,VERB,Fin,,охарактеризовала,1
избыточный,ADJ,,Gen:1,избыточных,1
неопределённость,NOUN,,Gen:1,неопределённости,1
отметить,VERB,Conv,,отметив,1
дополнение,NOUN,,Acc:1,дополнение,1
подзаработать,VERB,Inf,,подзаработать,1
завить,VERB,Fin,,завишу,1
отнять,VERB,Fin,,отнимет,1
заменять,VERB,Conv,,заменяя,1
болезненный,ADJ,,Ins:1,болезненным,1
переобучение,NOUN,,Gen:1,переобучения,1
по-своему,ADV,,,по-своему,1
сириус,PROPN,,Gen:1,Сириуса,1
предрассветный,ADJ,,Loc:1,предрассветном,1
невидимость,NOUN,,Gen:1,невидимости,1
полинезийский,ADJ,,Nom:1,Полинезийские,1
мореплаватель,NOUN,,Nom:1,мореплаватели,1
восход,NOUN,,Dat:1,восходам,1
пересекать,VERB,Conv,,пересекая,1
птолемь,PROPN,,Nom:1,Птолемей,1
альмагест,PROPN,,Loc:1,Альмагесте,1
утвердить,VERB,Fin,,утвердил,1
астрономический,ADJ,,Acc:1,астрономический,1
киото,PROPN,,Acc:1,Киото,1
выучить,VERB,Fin,,выучила,1
репетировать,VERB,Fin,,репетировала,1
задать,VERB,Fin,,задали,1
бумажка,NOUN,,Gen:1,бумажки,1
расширять,VERB,Part,Acc:1,расширяющие,1
профилирование,NOUN,,Loc:1,профилировании,1
закон,PROPN,,Nom:1,Закон,1
поэтапно,ADV,,,поэтапно,1
австралия,PROPN,,Nom:1,Австралия,1
допускать,VERB,Inf,,допускать,1
младший,ADV,,,младше,1
оспаривать,VERB,Fin,,оспаривается,1
зачем,ADV,,,зачем,1
праздновать,VERB,Inf,,праздновать,1
присоединяться,VERB,Fin,,присоединяется,1
видеосвязь,NOUN,,Dat:1,видеосвязи,1
сближать,VERB,Fin,,сближают,1
сан-франциско,PROPN,,Loc:1,Сан-Франциско,1
подрядчик,NOUN,,Ins:1,подрядчиками,1
платформенный,ADJ,,Loc:1,платформенной,1
презумпция,NOUN,,Acc:1,презумпцию,1
таксомоторный,ADJ,,Nom:1,таксомоторные,1
созвониться,VERB,Fin,,созвонились,1
засесть,VERB,Fin,,засели,1
кооперативный,ADJ,,Acc:1,кооперативную,1
провалить,VERB,Fin,,провалили,1
командир,NOUN,,Gen:1,командира,1
прикрывать,VERB,Fin,,прикрываешь,1
орать,VERB,Fin,,орали,1
футбольный,ADJ,,Nom:1,футбольный,1
договориться,VERB,Conv,,договорившись,1
убедительно,ADV,,,убедительно,1
мелькать,VERB,Fin,,мелькают,1
напоминать,VERB,Part,Nom:1,напоминающие,1
давний,ADJ,,Nom:1,давняя,1
маркс,PROPN,,Nom:1,Маркс,1
отталкиваться,VERB,Conv,,отталкиваясь,1
гегель,PROPN,,Gen:1,Гегеля,1
брюмер,NOUN,,Loc:1,брюмера,1
луи,PROPN,,Gen:1,Луи,1
бонапарт,PROPN,,Gen:1,Бонапарта,1
трагедия,NOUN,,Nom:1,трагедия,1
фарс,NOUN,,Nom:1,фарс,1
обнаруживаться,VERB,Fin,,обнаруживаются,1
предсказывать,VERB,Inf,,предсказывать,1
рифмоваться,VERB,Fin,,рифмуется,1
метафора,NOUN,,Nom:1,метафора,1
дочитывать,VERB,Fin,,Дочитываю,1
убийца,NOUN,,Nom:1,убийца,1
садовник,NOUN,,Nom:1,садовник,1
старательно,ADV,,,старательно,1
оранжерея,NOUN,,Loc:1,оранжерее,1
отдавать,VERB,Conv,,отдавая,1
подозрительно,ADV,,,подозрительно,1
улыбнуться,VERB,Fin,,улыбнулась,1
племянница,NOUN,,Nom:1,племянница,1
сыщик,NOUN,,Nom:1,сыщик,1
неожиданно,ADJ,,,неожиданно,1
подозреваемый,NOUN,,Acc:1,подозреваемых,1
улика,NOUN,,Acc:1,улики,1
обвести,VERB,Fin,,обвели,1
миша,PROPN,,Gen:1,Миши,1
надеть,VERB,Fin,,надел,1
пролистать,VERB,Fin,,Пролистала,1
вдохновение,NOUN,,Gen:1,вдохновения,1
выкладывать,VERB,Fin,,выкладывает,1
плёночный,ADJ,,Acc:1,плёночную,1
проявка,NOUN,,Acc:1,проявку,1
фотолаборатория,NOUN,,Loc:1,фотолаборатории,1
недорого,ADV,,,недорого,1
увлекаться,VERB,Fin,,увлекается,1
раскольников,PROPN,,Nom:1,Раскольников,1
каморка,NOUN,,Loc:1,каморке,1
необыкновенный,ADJ,,Ins:1,необыкновенным,1
позволить,VERB,Part,,позволено,1
переступать,VERB,Inf,,переступать,1
убивать,VERB,Fin,,убивает,1
старуха,NOUN,,Acc:1,старуху,1
процентщица,NOUN,,Acc:1,процентщицу,1
совесть,NOUN,,Nom:1,совесть,1
метаться,VERB,Fin,,мечется,1
порфирий,PROPN,,Nom:1,Порфирий,1
соня,PROPN,,Nom:1,Соня,1
мармеладов,PROPN,,Nom:1,Мармеладова,1
дёргаться,VERB,Inf,,дёргаться,1
съехать,VERB,Fin,,съехала,1
обочина,NOUN,,Acc:1,обочину,1
аварийка,NOUN,,Acc:1,аварийку,1
выставить,VERB,Fin,,выставила,1
капот,NOUN,,Acc:1,капот,1
километровый,ADJ,,Acc:1,километровый,1
эвакуатор,NOUN,,Nom:1,Эвакуатор,1
покачать,VERB,Fin,,покачал,1
подбросить,VERB,Fin,,подбросили,1
мысленно,ADV,,,мысленно,1
южнокорейский,ADJ,,Nom:1,Южнокорейская,1
поп-музыка,NOUN,,Nom:1,поп-музыка,1
пересекать,VERB,Part,Gen:1,пересекающей,1
халлю,NOUN,,Ins:1,халлю,1
видеоплатформа,NOUN,,Nom:1,видеоплатформы,1
клип,NOUN,,Nom:1,клип,1
ютьюб,PROPN,,Nom:1,YouTube,1
возглавить,VERB,Fin,,возглавила,1
чарт,NOUN,,Acc:1,чарт,1
продюсерский,ADJ,,Loc:1,продюсерских,1
сохранять,VERB,Conv,,сохраняя,1
прага,PROPN,,Loc:1,Праге,1
перерыть,VERB,Fin,,Перерыла,1
обедать,VERB,Fin,,обедали,1
паника,NOUN,,Nom:1,паника,1
пропажа,NOUN,,Loc:1,пропаже,1
распечатать,VERB,Part,Nom:1,распечатанная,1
ремесло,NOUN,,Nom:1,ремёсла,1
однонаправленный,ADJ,,,однонаправленна,1
старинный,ADJ,,Loc:1,старинном,1
обряд,NOUN,,Loc:1,обряде,1
воссоздавать,VERB,Fin,,воссоздаётся,1
консервация,NOUN,,Acc:1,консервацию,1
напоказ,ADV,,Gen:1,напоказ,1
упростить,VERB,Part,Gen:1,упрощённых,1
уильям,PROPN,,Gen:1,Уильяма,1
стоуки,PROPN,,Gen:1,Стоуки,1
взаимно,ADV,,,взаимно,1
по-английски,ADV,,,по-английски,1
инвалид,NOUN,,Gen:1,инвалидов,1
розеттский,ADJ,,Nom:1,Розеттский,1
жан-франсуа,PROPN,,Nom:1,Жан-Франсуа,1
шампольон,PROPN,,Nom:1,Шампольон,1
опираться,VERB,Conv,,опираясь,1
расшифровка,NOUN,,Dat:1,расшифровке,1
иероглиф,NOUN,,Gen:1,иероглифов,1
древнеегипетский,ADJ,,Gen:1,древнеегипетских,1
берестяной,ADJ,,Nom:1,берестяные,1
грамота,NOUN,,Nom:1,грамоты,1
записка,NOUN,,Nom:1,записки,1
ученический,ADJ,,Nom:1,ученические,1
летопись,NOUN,,Nom:1,летописи,1
уточняться,VERB,Inf,,уточняться,1
булькать,VERB,Fin,,булькает,1
говядина,NOUN,,Gen:1,говядины,1
плыть,VERB,Fin,,плывёт,1
щавель,NOUN,,Ins:1,щавелем,1
крапива,NOUN,,Ins:1,крапивой,1
мясной,ADJ,,Loc:1,мясном,1
лепить,VERB,Fin,,лепит,1
раскатывать,VERB,Fin,,раскатывает,1
вырезать,VERB,Fin,,вырезает,1
фарш,NOUN,,Acc:1,фарш,1
защипывать,VERB,Fin,,защипывает,1
ушко,NOUN,,Acc:1,ушко,1
угорский,ADJ,,Gen:1,угорских,1
хлебный,ADJ,,Gen:1,хлебного,1
присыпать,VERB,Part,Loc:1,присыпанной,1
вибрировать,VERB,Fin,,вибрировал,1
напрашиваться,VERB,Fin,,напрашивается,1
значиться,VERB,Fin,,значится,1
гаджет,NOUN,,Gen:1,гаджетов,1
отключать,VERB,Fin,,отключаю,1
подолгу,ADV,,,подолгу,1
протокол,PROPN,,Nom:1,Протокол,1
обоснованный,VERB,Part,Gen:1,обоснованных,1
преследование,NOUN,,Gen:1,преследования,1
невысылка,NOUN,,Gen:1,невысылки,1
возвращать,VERB,Inf,,возвращать,1
координировать,VERB,Fin,,координирует,1
управление,PROPN,,Nom:1,Управление,1
комиссар,NOUN,,Gen:1,комиссара,1
вынужденно,ADV,,,вынужденно,1
покинуть,VERB,Part,Gen:1,покинувших,1
убежище,NOUN,,Acc:1,убежище,1
бунтовать,VERB,Fin,,бунтуют,1
старший,NOUN,,Nom:1,старшие,1
ворчать,VERB,Fin,,ворчат,1
социология,NOUN,,Nom:1,Социология,1
манхейм,PROPN,,Nom:1,Манхейм,1
пережить,VERB,Part,Ins:1,пережитым,1
влиять,VERB,Part,Nom:1,влияющие,1
когортный,ADJ,,Nom:1,когортные,1
зумер,NOUN,,Gen:1,зумеров,1
миллениал,NOUN,,Gen:1,миллениалов,1
исследовательский,ADJ,,Nom:1,исследовательский,1
смешивать,VERB,Fin,,смешивают,1
подкреплять,VERB,Fin,,подкрепляют,1
паломничество,NOUN,,Nom:1,Паломничество,1
мусульманин,NOUN,,Gen:1,мусульман,1
хадж,NOUN,,Nom:1,хадж,1
мекка,PROPN,,Acc:1,Мекку,1
совершать,VERB,Part,Acc:1,совершаемый,1
столп,NOUN,,Gen:1,столпов,1
совершить,VERB,Inf,,совершить,1
испания,PROPN,,Loc:1,Испании,1
паломник,NOUN,,Gen:1,паломников,1
сантьяго,PROPN,,Dat:1,Сантьяго,1
верующий,NOUN,,Nom:1,верующие,1
кумбха,PROPN,,Gen:1,Кумбха,1
мел,NOUN,,Gen:1,мела,1
омовение,NOUN,,Acc:1,омовение,1
сикока,PROPN,,Nom:1,Сикоку,1
кукай,PROPN,,Gen:1,Кукая,1
придаваться,VERB,Fin,,придаётся,1
вольный,ADJ,,Ins:1,вольным,1
двадцатилетний,ADJ,,Nom:1,двадцатилетняя,1
серебряный,ADJ,,Acc:1,серебряную,1
уступить,VERB,Conv,,уступив,1
победительница,NOUN,,Dat:1,победительнице,1
полсекунды,NOUN,,Gen:1,полусекунды,1
пробиться,VERB,Inf,,пробиться,1
бронза,NOUN,,Nom:1,Бронза,1
пловчиха,NOUN,,Dat:1,пловчихе,1
лидировать,VERB,Fin,,лидировала,1
уступить,VERB,Fin,,уступила,1
финиш,NOUN,,Loc:1,финише,1
декларация,PROPN,,Loc:1,Декларации,1
основополагающий,ADJ,,Loc:1,основополагающих,1
упразднение,NOUN,,Nom:1,упразднение,1
искоренение,NOUN,,Nom:1,искоренение,1
недопущение,NOUN,,Nom:1,недопущение,1
инспекция,NOUN,,Acc:1,инспекцию,1
транслировать,VERB,Inf,,транслировать,1
неповторимость,NOUN,,Nom:1,неповторимость,1
биткоин,NOUN,,Nom:1,биткоин,1
псевдоним,NOUN,,Ins:1,псевдонимом,1
сатоси,PROPN,,Gen:1,Сатоси,1
накамото,PROPN,,Gen:1,Накамото,1
доходность,NOUN,,Acc:1,доходность,1
простота,NOUN,,Acc:1,простоту,1
регулятор,NOUN,,Nom:1,регуляторы,1
криптоактив,NOUN,,Gen:1,криптоактивов,1
инвестор,NOUN,,Nom:1,инвестор,1
вложить,VERB,Part,Acc:1,вложенные,1
евросоюз,PROPN,,Loc:1,Евросоюзе,1
выключить,VERB,Fin,,выключила,1
насос,NOUN,,Loc:1,насосе,1
засор,NOUN,,Loc:1,засоре,1
почистить,VERB,Fin,,почистила,1
вылиться,VERB,Fin,,вылилось,1
полведра,NOUN,,Nom:1,полведра,1
подстилать,VERB,Inf,,подстилать,1
заработать,VERB,Fin,,заработала,1
прислать,VERB,Inf,,прислать,1
ныть,VERB,Inf,,ныть,1
стоматология,NOUN,,Acc:1,стоматологию,1
украсть,VERB,Part,,украшен,1
скатерть,NOUN,,Ins:1,скатертью,1
переодеть,VERB,Part,Ins:1,переодетыми,1
переглядываться,VERB,Fin,,переглядываются,1
шептаться,VERB,Fin,,шепчутся,1
аттестат,NOUN,,Ins:1,аттестатами,1
замолкать,VERB,Fin,,замолкает,1
сирень,NOUN,,Gen:1,сирени,1
главлит,PROPN,,Nom:1,Главлит,1
публиковать,VERB,Inf,,публиковать,1
перепечатывать,VERB,Fin,,перепечатывали,1
копирка,NOUN,,Acc:1,копирку,1
тамиздат,NOUN,,Nom:1,тамиздат,1
издать,VERB,Part,Nom:1,изданные,1
тайно,ADV,,,тайно,1
ввести,VERB,Part,Nom:1,ввезённые,1
пастернак,PROPN,,Gen:1,Пастернака,1
доктор,NOUN,,Nom:1,Доктор,1
живаго,PROPN,,Nom:1,Живаго,1
италия,PROPN,,Loc:1,Италии,1
текущий,ADJ,,Gen:1,текущих,1
перепечатать,VERB,Part,Nom:1,перепечатанные,1
смотритель,NOUN,,Nom:1,смотритель,1
перерисовывать,VERB,Fin,,перерисовывает,1
развесить,VERB,Part,,развешаны,1
заснеженный,VERB,Part,Ins:1,заснеженной,1
монохромный,ADJ,,Ins:1,монохромным,1
проступать,VERB,Fin,,проступают,1
розоватый,ADJ,,Nom:1,розоватые,1
мазка,NOUN,,Nom:1,мазки,1
читать,VERB,Conv,,читая,1
аудиогид,NOUN,,Acc:1,аудиогид,1
натура,NOUN,,Loc:1,натуре,1
загустеть,VERB,Fin,,загустела,1
неровность,NOUN,,Acc:1,неровности,1
противоположность,NOUN,,Acc:1,противоположность,1
разновидность,NOUN,,Gen:1,разновидностей,1
оканье,NOUN,,Nom:1,оканье,1
безударный,ADJ,,Nom:1,безударное,1
а,INTJ,,,а,1
фрикативный,ADJ,,Nom:1,фрикативное,1
лингвистический,ADJ,,Ins:1,лингвистическими,1
шутливый,ADJ,,Nom:1,шутливая,1
макс,PROPN,,Nom:1,Макс,1
вайнрайх,PROPN,,Nom:1,Вайнрайх,1
сглаживаться,VERB,Fin,,сглаживаются,1
швейцарский,ADJ,,Dat:1,швейцарскому,1
жана,PROPN,,Dat:1,Жану,1
сенсомоторный,ADJ,,Gen:1,сенсомоторной,1
дооперациональный,ADJ,,Gen:1,дооперациональной,1
предполагать,VERB,Fin,,предполагал,1
выготский,PROPN,,Nom:1,Выготский,1
боулби,PROPN,,Ins:1,Боулби,1
мэри,PROPN,,Nom:1,Мэри,1
эйнсворт,PROPN,,Nom:1,Эйнсворт,1
покрывать,VERB,Inf,,покрывать,1
убор,NOUN,,Acc:1,убор,1
фом,PROPN,,Nom:1,Фома,1
уместный,ADJ,,,уместно,1
участвовать,VERB,Conv,,участвуя,1
таинство,NOUN,,Loc:1,таинствах,1
синагога,NOUN,,Gen:1,синагоги,1
буддийский,ADJ,,Gen:1,буддийского,1
служитель,NOUN,,Gen:1,служителей,1
подписать,VERB,Inf,,подписать,1
абонемент,NOUN,,Loc:1,абонементе,1
продлеваться,VERB,Fin,,продлевается,1
расторгнуть,VERB,Inf,,расторгнуть,1
списывать,VERB,Inf,,списывать,1
подписать,VERB,Part,Gen:1,подписанного,1
арабский,ADJ,,Loc:1,арабском,1
майский,ADJ,,Gen:1,майских,1
июньский,ADJ,,Gen:1,июньских,1
июльский,ADJ,,Gen:1,июльских,1
аргентина,PROPN,,Gen:1,Аргентины,1
лионель,PROPN,,Nom:1,Лионель,1
